fecha,clae2,w_median
2007-03-01,75,642
2007-03-01,77,1165
2007-03-01,78,1030
2007-03-01,79,1165
2007-03-01,80,1003
2007-03-01,81,837
2007-03-01,82,955
2007-03-01,85,644
2007-03-01,86,1215
2007-03-01,87,1119
2007-03-01,88,850
2007-03-01,90,548
2007-03-01,91,954
2007-03-01,92,1311
2007-03-01,93,740
2007-03-01,94,1066
2007-03-01,95,960
2007-03-01,96,706
2007-04-01,999,717
2007-04-01,1,800
2007-04-01,2,800
2007-04-01,3,1759
2007-04-01,5,913
2007-04-01,6,2750
2007-04-01,7,1983
2007-04-01,8,1178
2007-04-01,9,2866
2007-04-01,10,1181
2007-04-01,11,1406
2007-04-01,12,1098
2007-04-01,13,1146
2007-04-01,14,1022
2007-04-01,15,1145
2007-04-01,16,972
2007-04-01,17,1290
2007-04-01,18,1177
2007-04-01,19,1454
2007-04-01,20,1359
2007-04-01,21,1587
2007-04-01,22,1306
2007-04-01,23,1259
2007-04-01,24,1346
2007-04-01,25,1037
2007-04-01,26,1260
2007-04-01,27,1154
2007-04-01,28,1154
2007-04-01,29,1621
2007-04-01,30,1173
2007-04-01,31,1079
2007-04-01,32,1097
2007-04-01,33,1140
2007-04-01,35,1568
2007-04-01,36,1235
2007-04-01,37,1192
2007-04-01,38,1583
2007-04-01,39,1199
2007-04-01,41,924
2007-04-01,42,1217
2007-04-01,43,989
2007-04-01,45,1174
2007-04-01,46,1167
2007-04-01,47,1146
2007-04-01,49,1510
2007-04-01,50,1523
2007-04-01,51,1642
2007-04-01,52,1171
2007-04-01,53,1195
2007-04-01,55,1195
2007-04-01,56,758
2007-04-01,58,1035
2007-04-01,59,957
2007-04-01,60,1323
2007-04-01,61,1200
2007-04-01,62,1302
2007-04-01,63,1156
2007-04-01,64,1528
2007-04-01,65,1488
2007-04-01,66,1162
2007-04-01,68,1016
2007-04-01,69,900
2007-04-01,70,872
2007-04-01,71,991
2007-04-01,72,1039
2007-04-01,73,800
2007-04-01,74,829
2007-04-01,75,655
2007-04-01,77,1180
2007-04-01,78,1058
2007-04-01,79,1163
2007-04-01,80,1060
2007-04-01,81,838
2007-04-01,82,1005
2007-04-01,85,693
2007-04-01,86,1225
2007-04-01,87,1129
2007-04-01,88,779
2007-04-01,90,569
2007-04-01,91,983
2007-04-01,92,1365
2007-04-01,93,768
2007-04-01,94,1100
2007-04-01,95,993
2007-04-01,96,728
2007-05-01,999,726
2007-05-01,1,808
2007-05-01,2,800
2007-05-01,3,1873
2007-05-01,5,1027
2007-05-01,6,2644
2007-05-01,7,1983
2007-05-01,8,1267
2007-05-01,9,2882
2007-05-01,10,1256
2007-05-01,11,1455
2007-05-01,12,1263
2007-05-01,13,1236
2007-05-01,14,1066
2007-05-01,15,1243
2007-05-01,16,1091
2007-05-01,17,1386
2007-05-01,18,1268
2007-05-01,19,1490
2007-05-01,20,1434
2007-05-01,21,1623
2007-05-01,22,1501
2007-05-01,23,1411
2007-05-01,24,1638
2007-05-01,25,1308
2007-05-01,26,1387
2007-05-01,27,1363
2007-05-01,28,1418
2007-05-01,29,1967
2007-05-01,30,1325
2007-05-01,31,1215
2007-05-01,32,1239
2007-05-01,33,1265
2007-05-01,35,1641
2007-05-01,36,1287
2007-05-01,37,1211
2007-05-01,38,1659
2007-05-01,39,1266
2007-05-01,41,1026
2007-05-01,42,1362
2007-05-01,43,1089
2007-05-01,45,1191
2007-05-01,46,1170
2007-05-01,47,1144
2007-05-01,49,1561
2007-05-01,50,1528
2007-05-01,51,1607
2007-05-01,52,1186
2007-05-01,53,1213
2007-05-01,55,1208
2007-05-01,56,754
2007-05-01,58,1047
2007-05-01,59,900
2007-05-01,60,1298
2007-05-01,61,1215
2007-05-01,62,1307
2007-05-01,63,1162
2007-05-01,64,1521
2007-05-01,65,1488
2007-05-01,66,1149
2007-05-01,68,1074
2007-05-01,69,918
2007-05-01,70,904
2007-05-01,71,1056
2007-05-01,72,1102
2007-05-01,73,738
2007-05-01,74,824
2007-05-01,75,691
2007-05-01,77,1199
2007-05-01,78,1110
2007-05-01,79,1164
2007-05-01,80,1023
2007-05-01,81,862
2007-05-01,82,1012
2007-05-01,85,669
2007-05-01,86,1223
2007-05-01,87,1123
2007-05-01,88,833
2007-05-01,90,359
2007-05-01,91,924
2007-05-01,92,1356
2007-05-01,93,738
2007-05-01,94,1101
2007-05-01,95,1104
2007-05-01,96,736
2007-06-01,999,1019
2007-06-01,1,1057
2007-06-01,2,946
2007-06-01,3,2502
2007-06-01,5,1594
2007-06-01,6,3898
2007-06-01,7,3180
2007-06-01,8,1897
2007-06-01,9,4075
2007-06-01,10,1808
2007-06-01,11,2072
2007-06-01,12,1602
2007-06-01,13,1814
2007-06-01,14,1490
2007-06-01,15,1753
2007-06-01,16,1487
2007-06-01,17,1992
2007-06-01,18,1784
2007-06-01,19,2099
2007-06-01,20,2115
2007-06-01,21,2391
2007-06-01,22,2159
2007-06-01,23,2009
2007-06-01,24,2168
2007-06-01,25,1740
2007-06-01,26,2073
2007-06-01,27,1849
2007-06-01,28,1904
2007-06-01,29,2716
2007-06-01,30,1734
2007-06-01,31,1671
2007-06-01,32,1726
2007-06-01,33,1758
2007-06-01,35,2260
2007-06-01,36,1805
2007-06-01,37,1866
2007-06-01,38,2247
2007-06-01,39,1826
2007-06-01,41,1231
2007-06-01,42,1775
2007-06-01,43,1392
2007-06-01,45,1762
2007-06-01,46,1740
2007-06-01,47,1616
2007-06-01,49,2107
2007-06-01,50,2139
2007-06-01,51,2229
2007-06-01,52,1740
2007-06-01,53,1800
2007-06-01,55,1507
2007-06-01,56,1072
2007-06-01,58,1418
2007-06-01,59,1222
2007-06-01,60,1833
2007-06-01,61,1769
2007-06-01,62,1894
2007-06-01,63,1608
2007-06-01,64,2214
2007-06-01,65,2181
2007-06-01,66,1589
2007-06-01,68,1431
2007-06-01,69,1281
2007-06-01,70,1239
2007-06-01,71,1337
2007-06-01,72,1497
2007-06-01,73,966
2007-06-01,74,1134
2007-06-01,75,1029
2007-06-01,77,1733
2007-06-01,78,1369
2007-06-01,79,1564
2007-06-01,80,1383
2007-06-01,81,1086
2007-06-01,82,1431
2007-06-01,85,859
2007-06-01,86,1725
2007-06-01,87,1497
2007-06-01,88,1062
2007-06-01,90,959
2007-06-01,91,1395
2007-06-01,92,1976
2007-06-01,93,1050
2007-06-01,94,1446
2007-06-01,95,1449
2007-06-01,96,1000
2007-07-01,999,797
2007-07-01,1,816
2007-07-01,2,800
2007-07-01,3,1938
2007-07-01,5,1064
2007-07-01,6,2687
2007-07-01,7,2340
2007-07-01,8,1344
2007-07-01,9,3003
2007-07-01,10,1323
2007-07-01,11,1471
2007-07-01,12,1267
2007-07-01,13,1285
2007-07-01,14,1109
2007-07-01,15,1235
2007-07-01,16,1084
2007-07-01,17,1403
2007-07-01,18,1266
2007-07-01,19,1426
2007-07-01,20,1532
2007-07-01,21,1770
2007-07-01,22,1522
2007-07-01,23,1443
2007-07-01,24,1521
2007-07-01,25,1222
2007-07-01,26,1492
2007-07-01,27,1310
2007-07-01,28,1345
2007-07-01,29,1911
2007-07-01,30,1291
2007-07-01,31,1187
2007-07-01,32,1236
2007-07-01,33,1270
2007-07-01,35,1646
2007-07-01,36,1461
2007-07-01,37,1322
2007-07-01,38,1795
2007-07-01,39,1306
2007-07-01,41,1066
2007-07-01,42,1412
2007-07-01,43,1140
2007-07-01,45,1283
2007-07-01,46,1294
2007-07-01,47,1222
2007-07-01,49,1623
2007-07-01,50,1548
2007-07-01,51,1682
2007-07-01,52,1287
2007-07-01,53,1360
2007-07-01,55,1225
2007-07-01,56,811
2007-07-01,58,1103
2007-07-01,59,977
2007-07-01,60,1424
2007-07-01,61,1302
2007-07-01,62,1440
2007-07-01,63,1292
2007-07-01,64,1631
2007-07-01,65,1576
2007-07-01,66,1211
2007-07-01,68,1135
2007-07-01,69,973
2007-07-01,70,985
2007-07-01,71,1094
2007-07-01,72,1193
2007-07-01,73,840
2007-07-01,74,906
2007-07-01,75,749
2007-07-01,77,1322
2007-07-01,78,1168
2007-07-01,79,1291
2007-07-01,80,1109
2007-07-01,81,920
2007-07-01,82,1115
2007-07-01,85,669
2007-07-01,86,1263
2007-07-01,87,1114
2007-07-01,88,870
2007-07-01,90,794
2007-07-01,91,911
2007-07-01,92,1419
2007-07-01,93,837
2007-07-01,94,1110
2007-07-01,95,1152
2007-07-01,96,794
2007-08-01,999,810
2007-08-01,1,831
2007-08-01,2,829
2007-08-01,3,2074
2007-08-01,5,1064
2007-08-01,6,2820
2007-08-01,7,2372
2007-08-01,8,1361
2007-08-01,9,3939
2007-08-01,10,1381
2007-08-01,11,1495
2007-08-01,12,1175
2007-08-01,13,1313
2007-08-01,14,1150
2007-08-01,15,1296
2007-08-01,16,1176
2007-08-01,17,1449
2007-08-01,18,1322
2007-08-01,19,1446
2007-08-01,20,1566
2007-08-01,21,1771
2007-08-01,22,1569
2007-08-01,23,1499
2007-08-01,24,1574
2007-08-01,25,1280
2007-08-01,26,1527
2007-08-01,27,1369
2007-08-01,28,1395
2007-08-01,29,2014
2007-08-01,30,1290
2007-08-01,31,1291
2007-08-01,32,1280
2007-08-01,33,1330
2007-08-01,35,1665
2007-08-01,36,1377
2007-08-01,37,1337
2007-08-01,38,1827
2007-08-01,39,1520
2007-08-01,41,1089
2007-08-01,42,1469
2007-08-01,43,1171
2007-08-01,45,1306
2007-08-01,46,1302
2007-08-01,47,1223
2007-08-01,49,1643
2007-08-01,50,1585
2007-08-01,51,1746
2007-08-01,52,1310
2007-08-01,53,1323
2007-08-01,55,1323
2007-08-01,56,866
2007-08-01,58,1164
2007-08-01,59,915
2007-08-01,60,1540
2007-08-01,61,1376
2007-08-01,62,1420
2007-08-01,63,1268
2007-08-01,64,1653
2007-08-01,65,1598
2007-08-01,66,1250
2007-08-01,68,1156
2007-08-01,69,976
2007-08-01,70,1000
2007-08-01,71,1130
2007-08-01,72,1197
2007-08-01,73,853
2007-08-01,74,900
2007-08-01,75,736
2007-08-01,77,1342
2007-08-01,78,1180
2007-08-01,79,1300
2007-08-01,80,1125
2007-08-01,81,971
2007-08-01,82,1109
2007-08-01,85,669
2007-08-01,86,1273
2007-08-01,87,1120
2007-08-01,88,848
2007-08-01,90,681
2007-08-01,91,1000
2007-08-01,92,1480
2007-08-01,93,881
2007-08-01,94,1125
2007-08-01,95,1174
2007-08-01,96,802
2007-09-01,999,842
2007-09-01,1,815
2007-09-01,2,800
2007-09-01,3,1795
2007-09-01,5,1164
2007-09-01,6,2980
2007-09-01,7,2546
2007-09-01,8,1347
2007-09-01,9,3643
2007-09-01,10,1317
2007-09-01,11,1522
2007-09-01,12,1516
2007-09-01,13,1243
2007-09-01,14,1112
2007-09-01,15,1213
2007-09-01,16,1074
2007-09-01,17,1413
2007-09-01,18,1283
2007-09-01,19,1388
2007-09-01,20,1557
2007-09-01,21,1782
2007-09-01,22,1447
2007-09-01,23,1425
2007-09-01,24,1509
2007-09-01,25,1204
2007-09-01,26,1599
2007-09-01,27,1337
2007-09-01,28,1345
2007-09-01,29,1884
2007-09-01,30,1230
2007-09-01,31,1169
2007-09-01,32,1236
2007-09-01,33,1341
2007-09-01,35,1834
2007-09-01,36,1336
2007-09-01,37,1380
2007-09-01,38,1702
2007-09-01,39,1474
2007-09-01,41,1013
2007-09-01,42,1367
2007-09-01,43,1110
2007-09-01,45,1353
2007-09-01,46,1384
2007-09-01,47,1270
2007-09-01,49,1638
2007-09-01,50,1589
2007-09-01,51,1668
2007-09-01,52,1379
2007-09-01,53,1366
2007-09-01,55,1340
2007-09-01,56,827
2007-09-01,58,1161
2007-09-01,59,871
2007-09-01,60,1496
2007-09-01,61,1440
2007-09-01,62,1491
2007-09-01,63,1360
2007-09-01,64,1733
2007-09-01,65,1600
2007-09-01,66,1266
2007-09-01,68,1144
2007-09-01,69,1023
2007-09-01,70,1029
2007-09-01,71,1090
2007-09-01,72,1200
2007-09-01,73,882
2007-09-01,74,950
2007-09-01,75,796
2007-09-01,77,1402
2007-09-01,78,1129
2007-09-01,79,1367
2007-09-01,80,1103
2007-09-01,81,983
2007-09-01,82,1152
2007-09-01,85,687
2007-09-01,86,1281
2007-09-01,87,1129
2007-09-01,88,890
2007-09-01,90,621
2007-09-01,91,939
2007-09-01,92,1513
2007-09-01,93,884
2007-09-01,94,1152
2007-09-01,95,1173
2007-09-01,96,829
2007-10-01,999,866
2007-10-01,1,947
2007-10-01,2,900
2007-10-01,3,2100
2007-10-01,5,1076
2007-10-01,6,3019
2007-10-01,7,2540
2007-10-01,8,1446
2007-10-01,9,3637
2007-10-01,10,1393
2007-10-01,11,1596
2007-10-01,12,1331
2007-10-01,13,1396
2007-10-01,14,1216
2007-10-01,15,1322
2007-10-01,16,1166
2007-10-01,17,1477
2007-10-01,18,1348
2007-10-01,19,1549
2007-10-01,20,1630
2007-10-01,21,1851
2007-10-01,22,1578
2007-10-01,23,1552
2007-10-01,24,1618
2007-10-01,25,1294
2007-10-01,26,1565
2007-10-01,27,1396
2007-10-01,28,1427
2007-10-01,29,2009
2007-10-01,30,1295
2007-10-01,31,1300
2007-10-01,32,1315
2007-10-01,33,1383
2007-10-01,35,1795
2007-10-01,36,1399
2007-10-01,37,1397
2007-10-01,38,1915
2007-10-01,39,1498
2007-10-01,41,1135
2007-10-01,42,1528
2007-10-01,43,1189
2007-10-01,45,1359
2007-10-01,46,1371
2007-10-01,47,1285
2007-10-01,49,1664
2007-10-01,50,1666
2007-10-01,51,1637
2007-10-01,52,1390
2007-10-01,53,1394
2007-10-01,55,1353
2007-10-01,56,839
2007-10-01,58,1224
2007-10-01,59,1112
2007-10-01,60,1516
2007-10-01,61,1478
2007-10-01,62,1499
2007-10-01,63,1310
2007-10-01,64,1729
2007-10-01,65,1683
2007-10-01,66,1284
2007-10-01,68,1194
2007-10-01,69,1028
2007-10-01,70,1042
2007-10-01,71,1155
2007-10-01,72,1223
2007-10-01,73,822
2007-10-01,74,975
2007-10-01,75,774
2007-10-01,77,1385
2007-10-01,78,1207
2007-10-01,79,1345
2007-10-01,80,1237
2007-10-01,81,990
2007-10-01,82,1141
2007-10-01,85,692
2007-10-01,86,1288
2007-10-01,87,1134
2007-10-01,88,840
2007-10-01,90,581
2007-10-01,91,1048
2007-10-01,92,1600
2007-10-01,93,937
2007-10-01,94,1192
2007-10-01,95,1208
2007-10-01,96,852
2007-11-01,999,904
2007-11-01,1,980
2007-11-01,2,906
2007-11-01,3,1726
2007-11-01,5,1087
2007-11-01,6,3046
2007-11-01,7,2605
2007-11-01,8,1441
2007-11-01,9,3642
2007-11-01,10,1382
2007-11-01,11,1614
2007-11-01,12,1507
2007-11-01,13,1319
2007-11-01,14,1191
2007-11-01,15,1274
2007-11-01,16,1157
2007-11-01,17,1503
2007-11-01,18,1328
2007-11-01,19,1672
2007-11-01,20,1612
2007-11-01,21,1917
2007-11-01,22,1553
2007-11-01,23,1519
2007-11-01,24,1579
2007-11-01,25,1268
2007-11-01,26,1571
2007-11-01,27,1395
2007-11-01,28,1403
2007-11-01,29,1977
2007-11-01,30,1297
2007-11-01,31,1259
2007-11-01,32,1303
2007-11-01,33,1386
2007-11-01,35,1882
2007-11-01,36,1416
2007-11-01,37,1421
2007-11-01,38,1857
2007-11-01,39,1514
2007-11-01,41,1141
2007-11-01,42,1519
2007-11-01,43,1180
2007-11-01,45,1393
2007-11-01,46,1411
2007-11-01,47,1305
2007-11-01,49,1671
2007-11-01,50,1748
2007-11-01,51,1810
2007-11-01,52,1430
2007-11-01,53,1379
2007-11-01,55,1350
2007-11-01,56,832
2007-11-01,58,1231
2007-11-01,59,1151
2007-11-01,60,1506
2007-11-01,61,1529
2007-11-01,62,1524
2007-11-01,63,1362
2007-11-01,64,1752
2007-11-01,65,1688
2007-11-01,66,1331
2007-11-01,68,1189
2007-11-01,69,1059
2007-11-01,70,1064
2007-11-01,71,1155
2007-11-01,72,1264
2007-11-01,73,895
2007-11-01,74,973
2007-11-01,75,810
2007-11-01,77,1436
2007-11-01,78,1085
2007-11-01,79,1422
2007-11-01,80,1237
2007-11-01,81,982
2007-11-01,82,1158
2007-11-01,85,722
2007-11-01,86,1277
2007-11-01,87,1119
2007-11-01,88,878
2007-11-01,90,464
2007-11-01,91,1084
2007-11-01,92,1578
2007-11-01,93,953
2007-11-01,94,1216
2007-11-01,95,1200
2007-11-01,96,871
2007-12-01,999,1234
2007-12-01,1,1260
2007-12-01,2,1294
2007-12-01,3,3052
2007-12-01,5,1631
2007-12-01,6,4451
2007-12-01,7,3885
2007-12-01,8,2187
2007-12-01,9,5414
2007-12-01,10,1981
2007-12-01,11,2378
2007-12-01,12,2020
2007-12-01,13,2033
2007-12-01,14,1694
2007-12-01,15,2015
2007-12-01,16,1678
2007-12-01,17,2239
2007-12-01,18,1915
2007-12-01,19,2475
2007-12-01,20,2365
2007-12-01,21,2862
2007-12-01,22,2393
2007-12-01,23,2262
2007-12-01,24,2548
2007-12-01,25,2009
2007-12-01,26,2395
2007-12-01,27,2165
2007-12-01,28,2220
2007-12-01,29,3149
2007-12-01,30,1848
2007-12-01,31,1903
2007-12-01,32,1972
2007-12-01,33,2001
2007-12-01,35,2704
2007-12-01,36,1963
2007-12-01,37,1867
2007-12-01,38,2613
2007-12-01,39,2355
2007-12-01,41,1340
2007-12-01,42,2082
2007-12-01,43,1560
2007-12-01,45,1947
2007-12-01,46,1976
2007-12-01,47,1809
2007-12-01,49,2382
2007-12-01,50,2326
2007-12-01,51,2617
2007-12-01,52,1980
2007-12-01,53,1957
2007-12-01,55,1633
2007-12-01,56,1167
2007-12-01,58,1721
2007-12-01,59,1530
2007-12-01,60,2229
2007-12-01,61,2169
2007-12-01,62,2177
2007-12-01,63,1824
2007-12-01,64,2647
2007-12-01,65,2426
2007-12-01,66,1853
2007-12-01,68,1658
2007-12-01,69,1467
2007-12-01,70,1460
2007-12-01,71,1481
2007-12-01,72,1762
2007-12-01,73,1117
2007-12-01,74,1255
2007-12-01,75,1193
2007-12-01,77,2036
2007-12-01,78,1499
2007-12-01,79,1803
2007-12-01,80,1583
2007-12-01,81,1244
2007-12-01,82,1608
2007-12-01,85,961
2007-12-01,86,1989
2007-12-01,87,1729
2007-12-01,88,1184
2007-12-01,90,496
2007-12-01,91,1496
2007-12-01,92,2309
2007-12-01,93,1264
2007-12-01,94,1626
2007-12-01,95,1684
2007-12-01,96,1131
2008-01-01,999,943
2008-01-01,1,1057
2008-01-01,2,909
2008-01-01,3,1908
2008-01-01,5,1537
2008-01-01,6,3079
2008-01-01,7,2753
2008-01-01,8,1530
2008-01-01,9,3837
2008-01-01,10,1426
2008-01-01,11,1775
2008-01-01,12,1707
2008-01-01,13,1348
2008-01-01,14,1212
2008-01-01,15,1402
2008-01-01,16,1194
2008-01-01,17,1633
2008-01-01,18,1424
2008-01-01,19,1689
2008-01-01,20,1755
2008-01-01,21,1977
2008-01-01,22,1745
2008-01-01,23,1622
2008-01-01,24,1826
2008-01-01,25,1479
2008-01-01,26,1616
2008-01-01,27,1562
2008-01-01,28,1608
2008-01-01,29,2219
2008-01-01,30,1439
2008-01-01,31,1393
2008-01-01,32,1435
2008-01-01,33,1500
2008-01-01,35,2147
2008-01-01,36,1494
2008-01-01,37,1529
2008-01-01,38,1980
2008-01-01,39,1528
2008-01-01,41,1145
2008-01-01,42,1574
2008-01-01,43,1241
2008-01-01,45,1445
2008-01-01,46,1458
2008-01-01,47,1385
2008-01-01,49,1773
2008-01-01,50,1820
2008-01-01,51,2163
2008-01-01,52,1484
2008-01-01,53,1456
2008-01-01,55,1374
2008-01-01,56,914
2008-01-01,58,1349
2008-01-01,59,1196
2008-01-01,60,1672
2008-01-01,61,1680
2008-01-01,62,1615
2008-01-01,63,1436
2008-01-01,64,2018
2008-01-01,65,1821
2008-01-01,66,1430
2008-01-01,68,1277
2008-01-01,69,1101
2008-01-01,70,1117
2008-01-01,71,1197
2008-01-01,72,1440
2008-01-01,73,1120
2008-01-01,74,1009
2008-01-01,75,874
2008-01-01,77,1478
2008-01-01,78,1323
2008-01-01,79,1432
2008-01-01,80,1237
2008-01-01,81,979
2008-01-01,82,1271
2008-01-01,85,745
2008-01-01,86,1503
2008-01-01,87,1344
2008-01-01,88,952
2008-01-01,90,1183
2008-01-01,91,1193
2008-01-01,92,1595
2008-01-01,93,1096
2008-01-01,94,1362
2008-01-01,95,1313
2008-01-01,96,917
2008-02-01,999,1000
2008-02-01,1,1080
2008-02-01,2,972
2008-02-01,3,1913
2008-02-01,5,1187
2008-02-01,6,3138
2008-02-01,7,2410
2008-02-01,8,1514
2008-02-01,9,3938
2008-02-01,10,1437
2008-02-01,11,1573
2008-02-01,12,890
2008-02-01,13,1332
2008-02-01,14,1204
2008-02-01,15,1374
2008-02-01,16,1203
2008-02-01,17,1595
2008-02-01,18,1443
2008-02-01,19,1636
2008-02-01,20,1747
2008-02-01,21,1977
2008-02-01,22,1680
2008-02-01,23,1582
2008-02-01,24,1694
2008-02-01,25,1295
2008-02-01,26,1583
2008-02-01,27,1435
2008-02-01,28,1439
2008-02-01,29,1944
2008-02-01,30,1365
2008-02-01,31,1349
2008-02-01,32,1375
2008-02-01,33,1457
2008-02-01,35,2076
2008-02-01,36,1486
2008-02-01,37,1530
2008-02-01,38,1954
2008-02-01,39,1642
2008-02-01,41,1128
2008-02-01,42,1570
2008-02-01,43,1213
2008-02-01,45,1479
2008-02-01,46,1527
2008-02-01,47,1412
2008-02-01,49,1803
2008-02-01,50,1854
2008-02-01,51,2105
2008-02-01,52,1554
2008-02-01,53,1501
2008-02-01,55,1390
2008-02-01,56,874
2008-02-01,58,1348
2008-02-01,59,1074
2008-02-01,60,1693
2008-02-01,61,1616
2008-02-01,62,1660
2008-02-01,63,1502
2008-02-01,64,2025
2008-02-01,65,1802
2008-02-01,66,1430
2008-02-01,68,1270
2008-02-01,69,1120
2008-02-01,70,1133
2008-02-01,71,1194
2008-02-01,72,1420
2008-02-01,73,1106
2008-02-01,74,989
2008-02-01,75,919
2008-02-01,77,1461
2008-02-01,78,1275
2008-02-01,79,1509
2008-02-01,80,1238
2008-02-01,81,978
2008-02-01,82,1259
2008-02-01,85,715
2008-02-01,86,1525
