ID,CODIGO_ESTACION,NOMBRE_ESTACION,NUCLEO_CERCANIAS,TRAMO_HORARIO,VIAJEROS_SUBIDOS,VIAJEROS_BAJADOS
439,5135,SAN CLODIO,GALICIA AM,20:00 - 20:30,1,1
440,5135,SAN CLODIO,GALICIA AM,20:30 - 21:00,0,0
441,5137,SENRA,GALICIA AM,00:00 - 00:30,0,0
442,5137,SENRA,GALICIA AM,08:30 - 09:00,0,0
443,5137,SENRA,GALICIA AM,09:30 - 10:00,0,0
444,5137,SENRA,GALICIA AM,13:30 - 14:00,0,0
445,5137,SENRA,GALICIA AM,14:00 - 14:30,0,0
446,5137,SENRA,GALICIA AM,15:00 - 15:30,0,0
447,5137,SENRA,GALICIA AM,16:30 - 17:00,0,0
448,5137,SENRA,GALICIA AM,17:30 - 18:00,0,0
449,5137,SENRA,GALICIA AM,20:00 - 20:30,0,0
450,5137,SENRA,GALICIA AM,20:30 - 21:00,0,0
451,5139,ORTIGUEIRA,GALICIA AM,08:30 - 09:00,3,2
452,5139,ORTIGUEIRA,GALICIA AM,09:30 - 10:00,2,1
453,5139,ORTIGUEIRA,GALICIA AM,12:00 - 12:30,0,1
454,5139,ORTIGUEIRA,GALICIA AM,13:30 - 14:00,3,1
455,5139,ORTIGUEIRA,GALICIA AM,14:00 - 14:30,0,1
456,5139,ORTIGUEIRA,GALICIA AM,15:00 - 15:30,2,0
457,5139,ORTIGUEIRA,GALICIA AM,16:30 - 17:00,0,4
458,5139,ORTIGUEIRA,GALICIA AM,17:00 - 17:30,1,1
459,5139,ORTIGUEIRA,GALICIA AM,20:00 - 20:30,0,2
460,5139,ORTIGUEIRA,GALICIA AM,20:30 - 21:00,5,0
12676,21010,FERROL,GALICIA AM,00:00 - 00:30,4,11
12677,21010,FERROL,GALICIA AM,06:30 - 07:00,0,0
12678,21010,FERROL,GALICIA AM,07:30 - 08:00,2,2
12679,21010,FERROL,GALICIA AM,08:00 - 08:30,1,23
12680,21010,FERROL,GALICIA AM,08:30 - 09:00,0,3
12681,21010,FERROL,GALICIA AM,09:00 - 09:30,0,5
12682,21010,FERROL,GALICIA AM,09:30 - 10:00,0,1
12683,21010,FERROL,GALICIA AM,10:00 - 10:30,0,1
12684,21010,FERROL,GALICIA AM,10:30 - 11:00,3,0
12685,21010,FERROL,GALICIA AM,11:00 - 11:30,1,1
12686,21010,FERROL,GALICIA AM,11:30 - 12:00,0,0
12687,21010,FERROL,GALICIA AM,12:30 - 13:00,7,2
12688,21010,FERROL,GALICIA AM,13:00 - 13:30,1,0
12689,21010,FERROL,GALICIA AM,13:30 - 14:00,0,6
12690,21010,FERROL,GALICIA AM,14:00 - 14:30,9,3
12691,21010,FERROL,GALICIA AM,14:30 - 15:00,0,4
12692,21010,FERROL,GALICIA AM,15:00 - 15:30,0,5
12693,21010,FERROL,GALICIA AM,15:30 - 16:00,17,0
12694,21010,FERROL,GALICIA AM,16:00 - 16:30,0,3
12695,21010,FERROL,GALICIA AM,16:30 - 17:00,0,1
12696,21010,FERROL,GALICIA AM,17:00 - 17:30,4,5
12697,21010,FERROL,GALICIA AM,17:30 - 18:00,0,3
12698,21010,FERROL,GALICIA AM,18:00 - 18:30,11,0
12699,21010,FERROL,GALICIA AM,18:30 - 19:00,3,2
12700,21010,FERROL,GALICIA AM,19:00 - 19:30,7,0
12701,21010,FERROL,GALICIA AM,19:30 - 20:00,1,2
12702,21010,FERROL,GALICIA AM,20:00 - 20:30,0,2
12703,21010,FERROL,GALICIA AM,20:30 - 21:00,0,0
12704,21010,FERROL,GALICIA AM,21:00 - 21:30,2,0
12705,21010,FERROL,GALICIA AM,21:30 - 22:00,0,5
12706,21010,FERROL,GALICIA AM,22:00 - 22:30,0,0
23451,5139,ORTIGUEIRA,GALICIA AM,08:30 - 09:00,6,0
23452,5139,ORTIGUEIRA,GALICIA AM,09:00 - 09:30,0,4
23453,5139,ORTIGUEIRA,GALICIA AM,12:00 - 12:30,0,1
23454,5139,ORTIGUEIRA,GALICIA AM,13:30 - 14:00,3,0
23455,5139,ORTIGUEIRA,GALICIA AM,16:00 - 16:30,0,4
23456,5139,ORTIGUEIRA,GALICIA AM,17:00 - 17:30,2,0
23457,5139,ORTIGUEIRA,GALICIA AM,20:00 - 20:30,0,4
